耀,羽,20,yào
蘄,艹,11,error
涉,氵,10,shè
谈,讠,10,tán
伊,亻,6,yī
預,页,6,error
亟,二,8,jí
洞,氵,9,dònɡ
咣,口,9,ɡuānɡ
猢,犭,12,hú
媧,女,10,wā
礦,石,5,error
悫,心,11,què
缪,纟,14,miù
河,氵,8,hé
临,丨,9,lín
犷,犭,6,ɡuǎnɡ
鄶,阝,8,kuài
吸,口,6,xī
碻,石,5,error
娼,女,11,chānɡ
线,纟,8,xiàn
晄,日,9,huǎnɡ
談,讠,10,tán
反,又,4,fǎn
牌,片,12,pái
雏,隹,13,chú
姑,女,8,ɡū
硐,石,11,dònɡ
鳓,鱼,11,lè
織,纟,8,zhī
遠,辶,7,yuǎn
卢,卜,5,lú
知,矢,8,zhī
除,阝,9,chú
緩,纟,12,huǎn
彪,彡,11,biāo
觱,角,13,jiān
歲,山,12,yú
闹,门,8,nào
壻,女,12,xù
鯽,鱼,15,jì
廿,廾,4,niàn
覆,覀,18,fù
辊,车,12,ɡǔn
劌,刂,8,ɡuì
閎,门,13,huánɡ
鮒,鱼,8,error
应,广,7,yīnɡ
蠛,虫,20,miè
檜,木,3,zǐ
踟,足,15,chí
儡,亻,17,lěi
皤,白,17,pó
崩,山,11,bēnɡ
芬,艹,7,fēn
冶,冫,7,yě
钸,钅,10,bū
骼,骨,15,ɡé
赉,贝,11,lài
鍍,钅,14,dù
饑,饣,5,jī
臖,月,4,error
湟,氵,12,huánɡ
跞,足,12,luò
瑣,王,11,suǒ
鏢,钅,4,error
囤,囗,7,dùn
峨,山,10,é
括,扌,9,kuò
虯,虫,6,error
棰,木,12,chuí
豳,豕,17,bīn
併,干,6,bìnɡ
滴,氵,14,dī
须,页,9,xū
孽,子,19,niè
鹿,鹿,11,lù
沉,氵,7,chén
贈,贝,16,zènɡ
上,一,3,shànɡ
犍,牜,12,jiān
后,口,6,hòu
碑,石,13,bēi
餐,飠,16,cān
怖,忄,8,bù
蒙,艹,13,ménɡ
邡,阝,6,fānɡ
砦,石,11,zhai
鲩,鱼,15,huàn
憫,忄,10,mǐn
枯,木,9,kū
萮,艹,17,lǐn
伴,亻,7,bàn
玷,王,9,diàn
逶,辶,11,wēi
离,忄,10,lí
羿,羽,9,yì
鰾,鱼,8,error
浈,氵,9,zhēn
釋,采,12,shì
壑,土,17,hè
祐,礻,9,yòu
鷓,鸟,16,zhè
罔,网,8,wǎnɡ
蕘,艹,9,ráo
櫝,木,12,dú
譜,讠,14,error
盥,皿,16,ɡuàn
裱,衤,13,biǎo
号,口,5,hào
灶,火,7,zào
铹,钅,12,láo
姻,女,9,yīn
忿,心,8,fèn
节,艹,5,jié
躊,足,7,error
厌,厂,6,yàn
钎,钅,8,qiān
妐,女,12,zhōnɡ
紓,纟,7,shū
骒,马,11,kè
茗,艹,9,mínɡ
輟,车,12,chuò
倡,亻,10,chànɡ
熠,火,15,yì
锣,钅,13,luó
瞤,目,10,zāi
鬧,门,8,nào
傶,亻,11,qī
琹,王,11,xiù
稽,禾,15,jī
拂,扌,8,fú
豉,豆,11,chǐ
克,十,7,kè
鉍,钅,4,error
坏,土,7,huài
鹕,鸟,14,hú
胖,月,9,pànɡ
賞,贝,12,shǎnɡ
几,几,2,jǐ
埤,土,11,pí
筧,竹,10,jiǎn
巨,工,4,jù
腫,月,8,zhǒnɡ
黪,黑,20,cǎn
蝯,犭,12,yuán
赳,走,9,jiū
篼,竹,17,dōu
齿,齿,8,chǐ
舀,臼,10,yǎo
萄,艹,11,táo
澉,氵,14,ɡǎn
騐,马,3,error
挖,扌,9,wā
嚣,口,18,xiāo
閥,门,9,mén
符,竹,11,fú
披,扌,8,pī
蜮,虫,14,yù
褲,衤,12,kù
炷,火,9,zhù
窻,穴,5,error
锺,钅,10,zhōnɡ
鼾,鼻,17,hān
所,户,8,suǒ
蛃,虫,7,jūn
摄,扌,13,shè
鋋,釒,11,diu1
凍,冫,7,dònɡ
灌,氵,20,ɡuàn
穐,禾,7,qiū
柙,木,9,xiá
佞,亻,7,nìnɡ
兢,儿,14,jīnɡ
鑤,刂,12,zhù
学,子,8,xué
翩,羽,15,piān
